基金代號,基金名稱,標的指數/追蹤指數名稱,總機,基金類型,英文名稱,地址,董事長,發言人,總經理,代理發言人,投資經理人,統一編號,總代理人,上市日期,成立日期,發行單位數/轉換數,過戶機構,過戶電話,過戶地址,指數股票型基金(ETF)之標的指數是否包含外國成份股,備註
50,元大台灣卓越50證券投資信託基金,臺灣50指數,(02)27175555,國內成分證券指數股票型基金,Yuanta/P-shares Taiwan Top 50 ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,陳重銓,98764389,,092/06/30,092/06/25,"2,422,000,000",臺灣集中保管結算所股份有限公司,(02)27195805,台北市復興北路363號11樓,否,
51,元大台灣中型100證券投資信託基金,臺灣中型100指數,(02)27175555,國內成分證券指數股票型基金,Yuanta/P-shares Taiwan Mid-Cap 100 ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,邱鉦淵,48772770,,095/08/31,095/08/24,"16,500,000",臺灣集中保管結算所股份有限公司,(02)27195805,台北市復興北路363號11樓,否,
52,富邦台灣科技指數證券投資信託基金,臺灣資訊科技指數,(02)8771-6688,國內成分證券指數股票型基金,Fubon Taiwan Technology Tracker Fund,台北市敦化南路一段108號8樓,史綱,史綱,林欣怡,林欣怡,陳又又吉,48790067,,095/09/12,095/08/28,"43,500,000",富邦證券投資信託股份有限公司,(02)8771-6688,台北市敦化南路一段108號8樓,否,
53,元大台灣ETF傘型證券投資信託基金之電子科技證券投資信託基金,電子類加權股價指數,(02)27175555,國內成分證券指數股票型基金,Yuanta/P-shares Taiwan Electronics Tech ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,蔡宗勳,48903196,,096/07/16,096/07/04,"4,988,000",臺灣集中保管結算所股份有限公司,(02)27195805,台北市復興北路363號11樓,否,
54,元大台灣ETF傘型證券投資信託基金之台商收成證券投資信託基金,S&P台商收成指數,(02)27175555,國內成分證券指數股票型基金,Yuanta/P-shares S&P Custom China Play 50 ETF,臺北市大安區敦化南路二段67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,陳威志,48903180,,096/07/16,096/07/04,"4,124,000",臺灣集中保管結算所股份有限公司,(02)27195805,台北市復興北路363號11樓,否,
55,元大台灣ETF傘型證券投資信託基金之金融證券投資信託基金,MSCI台灣金融指數,(02)27175555,國內成分證券指數股票型基金,Yuanta/P-shares MSCI Taiwan Financials ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,程惇亞,48903175,,096/07/16,096/07/04,"74,154,000",臺灣集中保管結算所股份有限公司,(02)27195805,台北市復興北路363號11樓,否,
56,元大台灣高股息證券投資信託基金,臺灣高股息指數,(02)27175555,國內成分證券指數股票型基金,Yuanta/P-shares Taiwan Dividend Plus ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,陳威志,48966213,,096/12/26,096/12/13,"6,217,034,000",臺灣集中保管結算所股份有限公司,(02)27195805,台北市復興北路363號11樓,否,
57,富邦台灣ETF傘型證券投資信託基金之富邦台灣摩根指數股票型證券投資信託基金,MSCI&#174;臺灣指數,(02)8771-6688,國內成分證券指數股票型基金,FUBON MSCI  TAIWAN ETF,台北市敦化南路一段108號8樓,史綱,史綱,林欣怡,林欣怡,陳又又吉,48975156,,097/02/27,097/02/14,"1,527,000",富邦證券投資信託股份有限公司,(02)8771-6688,台北市敦化南路一段108號8樓,否,
58,富邦台灣ETF傘型證券投資信託基金之富邦台灣發達指數股票型證券投資信託基金,臺灣發達指數,(02)8771-6688,國內成分證券指數股票型基金,FUBON TAIWAN EIGHT INDUSTRIES ETF,台北市敦化南路一段108號8樓,胡德興,胡德興,李明州,李明州,簡伯容,48977083,,097/02/27,097/02/14,"696,000",富邦證券投資信託股份有限公司,(02)8771-6688,台北市敦化南路一段108號8樓,否,
59,富邦台灣ETF傘型證券投資信託基金之富邦台灣金融指數股票型證券投資信託基金,金融保險類股指數,(02)8771-6688,國內成分證券指數股票型基金,FUBON TAIWAN FINANCE  ETF,台北市敦化南路一段108號8樓,胡德興,胡德興,李明州,李明州,楊貽甯,48975162,,097/02/27,097/02/14,"973,000",富邦證券投資信託股份有限公司,(02)8771-6688,台北市敦化南路一段108號8樓,否,
60,元大新台灣證券投資信託基金,未含電子股50指數,(02)27175555,國內成分證券指數股票型基金,Yuanta/P-shares TWSE Taiwan Non－Tech 50 ETF,台北市敦化南路一段66號5~6樓、68號2樓之1,林武田,劉宗聖,劉宗聖,張浴澤,謝宜蓁,10342511,,097/08/18,097/08/06,"1,153,000",臺灣集中保管結算所股份有限公司,(02)27195805,台北市復興北路363號11樓,否,
