datetime,AAVE & USD,ADA & USD,ALGO & USD,ATOM & USD,AVAX & USD,AXS & USD,BAL & USD,BCH & USD,BTC & USD,CRV & USD,DOGE & USD,DOT & USD,ETH & USD,LINK & USD,LTC & USD,MATIC & USD,SHIB & USD,SNX & USD,SOL & USD,UNI & USD,XRP & USD
2022-01-01 00:00:00,262.09,1.3301,1.6917,33.44,111.7,94.38,17.71,434.84,46656.13,5.57,0.1719,27.25,3723.04,19.99,149.09,2.5796,3.38e-05,5.64,172.4,17.21,0.8395
2022-01-01 01:00:00,260.0,1.3278,1.6822,33.67,109.73,93.98,17.75,434.95,46778.14,5.67,0.172,27.22,3724.89,20.0,148.24,2.5753,3.37e-05,5.76,172.72,17.26,0.8396
2022-01-01 02:00:00,260.08,1.3255,1.6832,33.8,110.76,94.31,17.69,434.76,46811.77,5.58,0.1717,27.18,3728.32,19.87,148.02,2.5756,3.38e-05,5.75,172.7,17.25,0.8425
2022-01-01 03:00:00,261.15,1.3246,1.6842,33.41,109.71,93.8,17.78,434.95,46813.2,5.58,0.1713,27.19,3723.96,19.76,147.69,2.5831,3.36e-05,5.74,172.89,17.14,0.841
2022-01-01 04:00:00,258.77,1.3078,1.6659,33.71,108.98,93.56,17.79,432.71,46711.05,5.6,0.1701,26.91,3708.21,19.53,146.75,2.5497,3.35e-05,5.65,171.35,17.19,0.8346
2022-01-01 05:00:00,261.35,1.3273,1.6766,33.48,109.84,94.45,17.85,435.43,47192.55,5.69,0.1717,27.23,3735.61,19.83,148.14,2.5748,3.37e-05,5.7,173.31,17.32,0.8421
2022-01-01 06:00:00,259.28,1.3165,1.6664,33.5,109.37,93.67,17.77,433.67,46979.62,5.71,0.171,27.16,3711.92,19.7,147.16,2.5584,3.37e-05,5.7,172.43,17.14,0.8377
2022-01-01 07:00:00,258.88,1.3244,1.669,33.67,110.41,94.01,17.75,435.22,47194.73,5.75,0.1713,27.38,3715.31,19.8,147.98,2.5614,3.39e-05,5.73,173.12,17.25,0.8412
2022-01-01 08:00:00,257.17,1.3264,1.6628,33.5,109.9,94.1,17.8,437.95,47124.82,5.81,0.1717,27.27,3721.4,19.85,148.09,2.5513,3.37e-05,5.7,172.85,17.19,0.8394
2022-01-01 09:00:00,255.6,1.3275,1.6586,33.37,109.91,93.4,17.77,437.58,47143.98,5.83,0.1712,27.24,3718.67,19.78,148.01,2.5416,3.38e-05,5.67,172.75,17.13,0.8425
2022-01-01 10:00:00,253.12,1.3173,1.6407,33.2,109.15,92.14,17.66,435.63,46871.08,5.91,0.1707,27.03,3691.39,19.65,147.26,2.5242,3.36e-05,5.65,171.86,17.02,0.8385
2022-01-01 11:00:00,251.36,1.3184,1.6408,33.4,109.16,91.94,17.64,434.86,46758.87,5.93,0.1705,27.06,3693.37,19.61,147.44,2.5153,3.37e-05,5.63,171.56,16.98,0.8388
2022-01-01 12:00:00,252.75,1.3308,1.6599,34.02,109.8,92.68,17.83,438.76,47074.05,5.92,0.1714,27.27,3716.28,19.82,148.38,2.5358,3.38e-05,5.76,172.75,17.09,0.8425
2022-01-01 13:00:00,254.29,1.329,1.6574,34.4,110.28,92.78,17.88,437.12,47023.24,5.8,0.1712,27.2,3710.03,19.8,147.89,2.5235,3.39e-05,5.8,172.63,17.1,0.8409
2022-01-01 14:00:00,253.22,1.3275,1.6566,34.93,109.24,92.49,17.88,440.24,46926.22,5.78,0.1714,27.22,3697.61,19.84,148.36,2.5075,3.36e-05,5.77,172.54,17.05,0.8399
2022-01-01 15:00:00,255.07,1.3337,1.6686,35.37,109.47,92.82,17.92,441.22,47219.04,5.87,0.172,27.59,3725.3,20.06,149.27,2.5397,3.4e-05,5.88,173.88,17.13,0.8425
2022-01-01 16:00:00,255.98,1.3352,1.6819,35.48,111.02,93.02,18.2,442.86,47268.62,6.16,0.172,27.49,3727.62,20.1,149.35,2.5402,3.38e-05,5.91,173.71,17.15,0.8448
2022-01-01 17:00:00,259.4,1.3463,1.7164,37.04,113.55,93.89,18.36,443.95,47754.48,6.24,0.1733,27.97,3760.77,20.33,150.61,2.5716,3.42e-05,5.93,175.06,17.34,0.8511
2022-01-01 18:00:00,258.55,1.3441,1.7591,36.57,113.08,93.69,18.44,443.59,47560.55,6.24,0.1732,27.91,3752.58,20.31,150.26,2.5738,3.41e-05,5.95,175.57,17.32,0.8516
2022-01-01 19:00:00,257.13,1.3466,1.7512,36.36,112.68,93.77,18.49,442.84,47329.78,6.13,0.1726,27.99,3747.61,20.21,149.91,2.5815,3.39e-05,5.93,177.38,17.32,0.8521
2022-01-01 20:00:00,258.74,1.3537,1.7537,36.71,113.34,93.84,18.53,443.86,47391.82,6.21,0.1725,28.34,3761.02,20.34,150.22,2.5646,3.41e-05,5.95,177.75,17.38,0.8457
2022-01-01 21:00:00,259.08,1.3614,1.7484,36.28,113.29,93.78,18.58,442.65,47319.67,6.2,0.1723,28.3,3748.65,20.39,149.8,2.5525,3.4e-05,5.94,176.4,17.29,0.846
2022-01-01 22:00:00,261.44,1.373,1.746,36.28,113.53,93.83,18.47,443.15,47440.74,6.19,0.1728,28.33,3757.89,20.45,150.16,2.5522,3.4e-05,5.89,177.4,17.29,0.8474
2022-01-01 23:00:00,266.48,1.3797,1.7433,36.33,114.26,94.19,18.71,445.07,47722.65,6.21,0.1733,28.61,3765.54,20.75,150.83,2.5724,3.41e-05,5.99,179.21,17.47,0.8507
2022-01-02 00:00:00,263.77,1.373,1.765,35.56,116.35,94.29,18.6,446.72,47625.3,6.1,0.173,28.39,3761.58,21.06,150.26,2.5484,3.41e-05,5.92,178.6,17.48,0.846
2022-01-02 01:00:00,260.88,1.3515,1.7127,35.34,114.77,94.09,18.47,447.45,47377.97,6.11,0.1724,28.14,3747.0,20.98,149.53,2.5385,3.39e-05,5.9,178.02,17.31,0.8424
2022-01-02 02:00:00,260.2,1.3561,1.7429,35.37,115.84,93.87,18.7,449.45,47370.5,6.2,0.1726,28.11,3746.5,20.86,149.54,2.5223,3.39e-05,6.01,178.42,17.37,0.8436
2022-01-02 03:00:00,258.31,1.3564,1.724,35.65,117.45,94.06,18.8,448.52,47329.47,6.35,0.1727,28.21,3758.55,21.05,150.13,2.5355,3.38e-05,5.98,177.75,17.4,0.8438
2022-01-02 04:00:00,256.15,1.3492,1.7052,35.78,116.99,93.57,18.66,444.56,46910.3,6.2,0.1711,27.98,3724.34,20.72,148.45,2.526,3.35e-05,5.88,175.92,17.19,0.839
2022-01-02 05:00:00,254.91,1.3558,1.7049,36.21,116.0,94.11,18.89,447.51,47081.28,6.37,0.1718,28.41,3744.69,20.88,149.27,2.5326,3.38e-05,5.97,176.66,17.21,0.8432
2022-01-02 06:00:00,256.35,1.3578,1.7028,35.87,115.11,93.83,18.89,446.56,47122.61,6.35,0.172,28.35,3738.52,20.75,149.05,2.5241,3.38e-05,5.92,175.85,17.2,0.8417
2022-01-02 07:00:00,255.76,1.3552,1.6981,35.7,116.01,93.87,19.05,445.27,47173.45,6.37,0.172,28.38,3747.22,20.75,149.36,2.5305,3.39e-05,5.95,175.86,17.2,0.8425
